time,rain_mm
2018-08-01 00:00:00,11.392975226044655
2018-08-01 01:00:00,0.005486421287059784
2018-08-01 02:00:00,0.01672934740781784
2018-08-01 03:00:00,0.17849355936050415
2018-08-01 04:00:00,0.41685253381729126
2018-08-01 05:00:00,0.6283633410930634
2018-08-01 06:00:00,0.7604621350765228
2018-08-01 07:00:00,0.9144209325313568
2018-08-01 08:00:00,1.4133319491520524
2018-08-01 09:00:00,1.7940677935257554
2018-08-01 10:00:00,2.2037415765225887
2018-08-01 11:00:00,2.387718763202429
2018-08-01 12:00:00,2.6143579743802547
2018-08-01 13:00:00,2.7108280919492245
2018-08-01 14:00:00,2.7678064070641994
2018-08-01 15:00:00,2.781996037811041
2018-08-01 16:00:00,2.8075813315808773
2018-08-01 17:00:00,2.8739660046994686
2018-08-01 18:00:00,2.9108314774930477
2018-08-01 19:00:00,2.982506062835455
2018-08-01 20:00:00,3.0123009346425533
2018-08-01 21:00:00,3.013791050761938
2018-08-01 22:00:00,3.016145434230566
2018-08-01 23:00:00,3.0180751346051693
2018-08-02 00:00:00,3.0197887681424618
2018-08-02 01:00:00,0.0014957040548324585
2018-08-02 02:00:00,0.00459328293800354
2018-08-02 03:00:00,0.023603439331054688
2018-08-02 04:00:00,0.05192123353481293
2018-08-02 05:00:00,0.19332021474838257
2018-08-02 06:00:00,0.3622882068157196
2018-08-02 07:00:00,0.7296055555343628
2018-08-02 08:00:00,0.877082347869873
2018-08-02 09:00:00,0.9726136922836304
2018-08-02 10:00:00,1.1906735599040985
2018-08-02 11:00:00,1.659393310546875
2018-08-02 12:00:00,2.1447762846946716
2018-08-02 13:00:00,2.7696131728589535
2018-08-02 14:00:00,2.7879863046109676
2018-08-02 15:00:00,2.7901469729840755
2018-08-02 16:00:00,2.7935518883168697
2018-08-02 17:00:00,2.8110085986554623
2018-08-02 18:00:00,2.815359737724066
2018-08-02 19:00:00,2.9519437812268734
2018-08-02 20:00:00,3.397607710212469
2018-08-02 21:00:00,3.665910568088293
2018-08-02 22:00:00,4.094147589057684
2018-08-02 23:00:00,4.508682992309332
2018-08-03 00:00:00,4.8894076608121395
2018-08-03 01:00:00,0.3015771508216858
2018-08-03 02:00:00,0.6239507347345352
2018-08-03 03:00:00,0.7796548306941986
2018-08-03 04:00:00,0.8337460458278656
2018-08-03 05:00:00,0.8999928832054138
2018-08-03 06:00:00,0.9741783142089844
2018-08-03 07:00:00,1.1302083730697632
2018-08-03 08:00:00,1.2496262788772583
2018-08-03 09:00:00,1.312650740146637
2018-08-03 10:00:00,1.5110820531845093
2018-08-03 11:00:00,1.8027499318122864
