Depth profiles at each cell, TRIGRS, v. 2.1.00c
Infinite-depth no-flow boundary
Cell Number, Slope angle, Step#, Time
Z         P      Pzero     Ptran      Pbeta       FS
cell            1  15.0           1    0.0000000    
  5.5801       2.9822       2.9822       0.0000       4.6483       1.0335    
  5.6401       3.0322       3.0322       0.0000       4.6982       1.0303    
  5.7001       3.0822       3.0822       0.0000       4.7482       1.0272    
  5.7600       3.1322       3.1322       0.0000       4.7982       1.0241    
  5.8200       3.1821       3.1821       0.0000       4.8482       1.0210    
  5.8800       3.2321       3.2321       0.0000       4.8981       1.0181    
  5.9400       3.2821       3.2821       0.0000       4.9481       1.0152    
  6.0000       3.3321       3.3321       0.0000       4.9981       1.0123    
cell            1  15.0           2    7257600.0    
 0.10000E-02  0.83301E-03  -1.6652       3.1461      0.83301E-03   10.000    
 0.60990E-01  0.50805E-01  -1.6152       3.0865      0.50805E-01   10.000    
 0.12098      0.10078      -1.5652       3.0276      0.10078       6.7419    
 0.18097      0.15075      -1.5153       2.9694      0.15075       4.7491    
 0.24096      0.20072      -1.4653       2.9120      0.20072       3.7486    
 0.30095      0.25070      -1.4153       2.8553      0.25070       3.1469    
 0.36094      0.30067      -1.3654       2.7993      0.30067       2.7453    
 0.42093      0.35064      -1.3154       2.7441      0.35064       2.4581    
 0.48092      0.40061      -1.2654       2.6895      0.40061       2.2426    
 0.54091      0.45058      -1.2154       2.6357      0.45058       2.0749    
 0.60090      0.50056      -1.1655       2.5826      0.50056       1.9407    
 0.66089      0.55053      -1.1155       2.5303      0.55053       1.8308    
 0.72088      0.60050      -1.0655       2.4786      0.60050       1.7392    
 0.78087      0.65047      -1.0156       2.4277      0.65047       1.6617    
 0.84086      0.70045     -0.96558       2.3775      0.70045       1.5953    
 0.90085      0.75042     -0.91561       2.3280      0.75042       1.5377    
 0.96084      0.80039     -0.86563       2.2792      0.80039       1.4873    
  1.0208      0.85036     -0.81566       2.2311      0.85036       1.4428    
  1.0808      0.90034     -0.76569       2.1837      0.90034       1.4032    
  1.1408      0.95031     -0.71572       2.1370      0.95031       1.3679    
  1.2008       1.0003     -0.66574       2.0910       1.0003       1.3360    
  1.2608       1.0503     -0.61577       2.0457       1.0503       1.3072    
  1.3208       1.1002     -0.56580       2.0011       1.1002       1.2810    
  1.3808       1.1502     -0.51583       1.9572       1.1502       1.2571    
  1.4408       1.2002     -0.46585       1.9140       1.2002       1.2351    
  1.5008       1.2501     -0.41588       1.8714       1.2501       1.2150    
  1.5607       1.3001     -0.36591       1.8296       1.3001       1.1963    
  1.6207       1.3501     -0.31594       1.7884       1.3501       1.1791    
  1.6807       1.4001     -0.26596       1.7478       1.4001       1.1631    
  1.7407       1.4500     -0.21599       1.7080       1.4500       1.1481    
  1.8007       1.5000     -0.16602       1.6688       1.5000       1.1342    
  1.8607       1.5142     -0.11605       1.6302       1.5500       1.1323    
  1.9207       1.5262     -0.66075E-01   1.5923       1.6000       1.1312    
  1.9807       1.5390     -0.16102E-01   1.5551       1.6499       1.1300    
  2.0407       1.5523      0.33870E-01   1.5185       1.6999       1.1286    
  2.1007       1.5663      0.83843E-01   1.4825       1.7499       1.1271    
  2.1606       1.5810      0.13382       1.4472       1.7998       1.1256    
  2.2206       1.5962      0.18379       1.4124       1.8498       1.1240    
  2.2806       1.6121      0.23376       1.3784       1.8998       1.1223    
  2.3406       1.6286      0.28373       1.3449       1.9498       1.1205    
  2.4006       1.6457      0.33370       1.3120       1.9997       1.1187    
  2.4606       1.6634      0.38368       1.2798       2.0497       1.1168    
  2.5206       1.6817      0.43365       1.2481       2.0997       1.1149    
  2.5806       1.7007      0.48362       1.2170       2.1496       1.1129    
  2.6406       1.7201      0.53359       1.1866       2.1996       1.1109    
  2.7006       1.7402      0.58357       1.1567       2.2496       1.1089    
  2.7605       1.7609      0.63354       1.1273       2.2996       1.1068    
  2.8205       1.7821      0.68351       1.0986       2.3495       1.1047    
  2.8805       1.8039      0.73348       1.0704       2.3995       1.1025    
  2.9405       1.8262      0.78346       1.0428       2.4495       1.1004    
  3.0005       1.8491      0.83343       1.0157       2.4995       1.0982    
  3.0605       1.8726      0.88340      0.98915       2.5494       1.0960    
  3.1205       1.8965      0.93337      0.96316       2.5994       1.0938    
  3.1805       1.9210      0.98335      0.93770       2.6494       1.0916    
  3.2405       1.9461       1.0333      0.91276       2.6993       1.0894    
  3.3005       1.9716       1.0833      0.88834       2.7493       1.0871    
